id,drug,ae,path_found
negsent1_275,"bisphosphonate,bisphosphonates",orthodontic treatment,FALSE
pos_1130,imatinib,progression of marrow reticulin fibrosis,FALSE
negsent1_426,all-trans retinoic acid,"acute promyelocytic leukemia,all-trans retinoic acid syndrome",FALSE
negsent1_967,cyclophosphamide,,FALSE
pos_840,interferon alpha,bilateral optic neuritis,FALSE
negsent1_137,"ritonavir,liponavir/ritonavir,abacavir/lamivudine",,FALSE
pos_3169,dcf,"immunosuppression,superinfection",FALSE
neg_142,zidovudine,anaemia,FALSE
pos_3973,tamoxifen,"intermittent spotting,uterine enlargement",FALSE
pos_3658,il-2,cognitive dysfunction,FALSE
negsent1_880,infliximab,,FALSE
pos_1527,triazolam,"amnesia,nocturnal bingeing",FALSE
negsent1_820,chloroquine,"predicted maximum serum concentration,fatal chloroquine overdose",FALSE
pos_507,"g-csf,granulocyte colony-stimulating factor",neutrophilic dermatoses,FALSE
pos_3988,"azithromycin,clarithromycin,lovastatin",rhabdomyolysis,FALSE
pos_2420,pegylated interferon,"irreversible decrease of visual acuity,ocular complications",FALSE
negsent1_1195,amiodarone,hypothyroid status,FALSE
pos_1589,zafirlukast,hypereosinophilia,FALSE
pos_1602,olanzapine,"uncontrolled diabetes mellitus,weight gain",FALSE
pos_1076,methotrexate,fatal acute encephalomyelitis,FALSE
pos_2787,salicylate,hepatotoxicity,FALSE
pos_456,olanzapine,dead,FALSE
pos_1810,gemcitabine,recall pneumonitis,FALSE
pos_2653,captopril,asthma,FALSE
pos_3295,gold,skin disturbances,FALSE
negsent1_1399,imiquimod,topical immune response,FALSE
pos_3298,"disopyramide phosphate,norpace","chb,complete heart block",FALSE
pos_268,minocycline,autoimmune hepatitis,FALSE
negsent1_917,"lorcainide,diuretics",hyponatremia,FALSE
negsent1_753,"clindamycin,ampicillin",,FALSE
negsent1_924,"hyperbaric oxygen,hyperbaric oxygen therapy",cerebral palsy,FALSE
negsent1_613,sucralfate,duodenal ulcer,FALSE
negsent1_810,tolazoline,"persistent pulmonary hypertension,meconium aspiration syndrome",FALSE
negsent1_471,"ifosfamide,phenytoin",patient's mental status returned to baseline,FALSE
negsent1_1305,"tamoxifen,tamoxifen citrate","breast cancer,left ovarian tumor",FALSE
negsent1_1333,phenytoin,toxicity,FALSE
pos_2379,lamotrigine,severe apnea,FALSE
pos_117,codeine,codeine intoxication,FALSE
negsent1_1331,ifosfamide,central nervous system toxicity,FALSE
negsent1_433,oxygen,intraoperative oxygen concentration,FALSE
neg_20,minocycline,autoimmune hepatitis,FALSE
pos_4209,niacin,intense dental and gingival pain,FALSE
pos_2117,warfarin,"priapism,stuttering",FALSE
pos_425,gemcitabine,"labd,linear immunoglobulin (ig) a bullous dermatosis",FALSE
negsent1_300,chloroquine,"narrow therapeutic index,dosing regimens,dispensed by untrained personnel",FALSE
pos_1029,infliximab,"increase in the number of apneic events,sao2 dips",FALSE
negsent1_679,adriamycin,cardiomyopathy,FALSE
pos_552,tamoxifen,endometrial disorders,FALSE
pos_1764,"sulfamethoxazole,trimethoprim",thrombotic thrombocytopenic purpura,FALSE
negsent1_1275,carmustine,side effect,FALSE
negsent1_641,human insulin,lipoatrophy,FALSE
negsent1_982,pioglitazone,"aggressive diuresis,weight loss",FALSE
negsent1_1104,heparin,"dialyzer circuit thrombosed,platelet count decreased",FALSE
negsent1_845,meloxicam,,FALSE
pos_3869,"cresol,insulin","high fever,increasing myalgia,lost consciousness,respiratory and metabolic acidosis",FALSE
negsent1_273,"methotrexate,prednisone",treatment,FALSE
negsent1_1170,quinidine,closed mitral valvotomy,FALSE
negsent1_1367,nimesulide,,FALSE
pos_3754,cisplatin,c. difficile colitis,FALSE
pos_1800,"citalopram,fentanyl",serotonin syndrome,FALSE
negsent1_457,argatroban,"discontinued,infusion was initiated",FALSE
pos_1811,gemcitabine,"dry cough,dyspnea,subfebrile temperatures",FALSE
negsent1_359,warfarin,,FALSE
negsent1_408,oxaliplatin,hemolytic-uremic syndrome,FALSE
pos_2784,human growth hormone,creutzfeldt-jakob disease,FALSE
pos_1871,5-fluorouracil,cardiotoxicity,FALSE
pos_2203,"infliximab,leflunomide",syringotropic hypersensitivity reaction,FALSE
pos_3957,"cephalexin,ampicillin",rash,FALSE
pos_325,"etanercept,methotrexate",atrial fibrillation,FALSE
pos_326,cyclophosphamide,hepatic angiosarcoma,FALSE
pos_2778,nafcillin,seizures,FALSE
negsent1_1271,sodium bisulfite,positive reaction,FALSE
negsent1_950,risperidone,"psychosis,akinetic-rigid syndromes",FALSE
pos_1111,bimatoprost,deepening of lid sulcus,FALSE
pos_2869,cyclophosphamide,severe restrictive ventilatory defect,FALSE
pos_1069,"bimatoprost,latanoprost",cystoid macular edema,FALSE
neg_148,procainamide,diffuse proliferative glomerulonephritis,FALSE
pos_1774,lithium,pulmonary hypertension,FALSE
pos_956,"brompheniramine,dextromethorphan,pseudoephedrine",fatality,FALSE
pos_1765,"sulfamethoxazole,trimethoprim",thrombotic thrombocytopenic purpura,FALSE
pos_878,chymopapain,anaphylaxis,FALSE
pos_1844,bleomycin,skin toxicity,FALSE
pos_1562,dipyrone,granulocytopenia,FALSE
negsent1_1065,olanzapine,measurement of olanzapine in brain tissue,FALSE
neg_8,ethambutol,visual loss,FALSE
pos_2905,monooctanoin,noncardiogenic pulmonary edema,FALSE
pos_3306,lithium,nephrotic syndrome,FALSE
pos_475,dipivefrin,cicatrical entropion,FALSE
negsent1_1475,mineral oil,,FALSE
pos_2483,cisplatin,"siadh,syndrome of inappropriate antidiuretic hormone",FALSE
pos_2151,aspirin,enlargement of spontaneous hemorrhage,FALSE
pos_3313,timolol,"dyspnea,sinus bradycardia",FALSE
negsent1_1350,carbamazepine,"bipolar disorder,seizures,mild mental retardation,traumatic brain injury,aggression,seizure control",FALSE
negsent1_363,"desmopressin,intranasal desmopressin",primary nocturnal enuresis,FALSE
pos_3641,lithium,polyuria,FALSE
pos_1178,quetiapine,death,FALSE
pos_267,minocycline,autoimmune hepatitis,FALSE
negsent1_181,"dextroamphetamine,medications",improved,FALSE
pos_3053,bleomycin,aortic wall in this case was damaged,FALSE
neg_79,bisphosphonate,renal impairment,FALSE
negsent1_431,thrombin,"percutaneous thrombin injection,arterial pseudoaneurysms",FALSE
pos_4028,acetazolamide,"acetazolamide intoxication,acute hemorrhagic gastritis",FALSE
pos_2818,"iodine,povidone",acute renal failure,FALSE
pos_844,dapsone,fatal agranulocytosis,FALSE
negsent1_362,acyclovir,,FALSE
pos_522,octreotide,hepatolithiasis,FALSE
pos_3300,bretylium,"cardiac arrest,ventricular arrhythmia",FALSE
negsent1_1443,gelatine,,FALSE
pos_2500,"sirolimus,tacrolimus",worsening of chronic aphthous ulcers,FALSE
pos_188,troglitazone,fulminant hepatic failure,FALSE
pos_1406,propofol,acute pancreatitis,FALSE
pos_3579,diphenylhydantoin,porphyria,FALSE
pos_4025,"carbamazepine,clarithromycin",carbamazepine toxicity,FALSE
pos_608,il-2,mortality rate <3,FALSE
neg_31,methylprednisolone,hepatotoxicity,FALSE
pos_3275,cimetidine,"hepatic dysfunction,impaired macrophage migration",FALSE
pos_3448,inh,refractory seizures,FALSE
pos_1147,linezolid,sideroblastic anemia,FALSE
pos_2407,methylprednisolone,hepatotoxicity,FALSE
pos_391,cyproterone acetate,femoral head avascular necrosis,FALSE
negsent1_1358,tamoxifen,"endometrial proliferation,hyperplasia,polyp formation,invasive carcinoma,uterine sarcoma",FALSE
negsent1_533,dalteparin,"effusion,bleed",FALSE
pos_1544,bcg,cutaneous mycobacterial infection,FALSE
pos_887,isoniazid,bilateral gynaecomastia,FALSE
negsent1_627,serine,"disturbances in serine and glycine excretion,psychotic episodes",FALSE
pos_656,ticlopidine,aplastic anemia,FALSE
pos_2063,itraconazole,severe and irreversible hepatotoxic events,FALSE
pos_342,olanzapine,"agranulocytosis,leukopenia",FALSE
pos_3017,adenine arabinoside,inappropriate antidiuretic hormone,FALSE
negsent1_941,carbamazepine,coronary artery bypass grafting,FALSE
negsent1_439,"verapamil,sustained-release verapamil","hypertension,bronchial asthma",FALSE
neg_24,"vancomycin,teicoplanin",neutropenia,FALSE
pos_3171,vasopressin,"renal damage,skeletal muscle ischemia",FALSE
negsent1_574,thalidomide,treatment,FALSE
pos_2168,propranolol,syncope,FALSE
pos_422,gemcitabine,cutaneous eruption,FALSE
pos_3682,tryptophan,eosinophilia myalgia syndrome,FALSE
pos_835,interferon alpha,neurological manifestations,FALSE
pos_2482,cisplatin,"siadh,syndrome of inappropriate antidiuretic hormone",FALSE
pos_1843,bleomycin,hyperpigmentation,FALSE
pos_3703,paracetamol,"hepatotoxic effects,hepatotoxicity",FALSE
negsent1_1188,cyclosporine,"myasthenia gravis,nephrotoxicity",FALSE
negsent1_1168,acyclovir,,FALSE
negsent1_557,"13-cis-retinoic acid,systemic steroid","treatment,cleared the systemic manifestations and skin lesions",FALSE
negsent1_886,carboplatin,"desensitization,bilateral optic glioma",FALSE
negsent1_263,haloperidol,delirium and agitation,FALSE
negsent1_526,dapsone,rheumatoid arthritis,FALSE
pos_2879,prazosin,hemorrhagic stroke,FALSE
pos_3245,isoniazid,histamine reaction,FALSE
negsent1_1352,"doxorubicin,digoxin",received between 550 and 1000 mg/m2 of doxorubicin without ill effect,FALSE
pos_909,carbamazepine,sle,FALSE
pos_35,omeprazole,eruption,FALSE
pos_2765,vincristine,optic nerve toxicity,FALSE
pos_3806,lithium,"ndi,nephrogenic diabetes insipidus",FALSE
pos_76,5-fu,life-threatening complications,FALSE
pos_3795,desmopressin,"hyponatremia,syndrome of inappropriate antidiuretic hormone",FALSE
pos_520,octreotide,hepatolithiasis,FALSE
negsent1_905,"prostaglandin,prostaglandin analog medications",glaucoma therapy,FALSE
pos_3934,flurbiprofen,delayed hypersensitivity,FALSE
pos_2669,ibuprofen,ulcerative proctitis,FALSE
pos_591,olanzapine,neuroleptic malignant syndrome,FALSE
pos_1408,rituximab,cd20-negative t-cell-rich b-cell lymphoma,FALSE
pos_2835,gentamicin,macular infarction,FALSE
pos_3318,perhexiline maleate,liver disease,FALSE
negsent1_1288,"5-fluorocytosine,cephradine,ketoconazole",toxic epidermal necrolysis,FALSE
negsent1_1403,"metoclopramide,procainamide",reaction,FALSE
pos_2764,vincristine,severe visual loss,FALSE
negsent1_485,phosphate,,FALSE
neg_2,insulin,allergic symptoms,FALSE
pos_3283,l-asparaginase,"acute pancreatitis,pseudocyst of the pancreas",FALSE
pos_3871,cresol,mh,FALSE
pos_4128,sulprostone,cardiac arrest,FALSE
pos_2006,olanzapine,photo-onycholysis,FALSE
pos_487,vincristine,severe neurotoxicity,FALSE
negsent1_1043,raloxifene,osteoporosis,FALSE
negsent1_1384,"bimatoprost,topical bimatoprost",complication,FALSE
negsent1_470,cyclosporine,reaction,FALSE
pos_1454,vardenafil,atrial fibrillation,FALSE
pos_2065,itraconazole,"acute cytolytic hepatitis,hepatitis",FALSE
negsent1_1412,"ciprofloxacin,piperacillin,tazobactam,cefpirome,tazobactam/piperacillin","acute, hypertensive, intracerebral bleeding",FALSE
negsent1_602,argatroban,hemodialysis,FALSE
pos_1564,"efalizumab,infliximab",cd8+ cutaneous lymphoproliferative disorders,FALSE
pos_1867,colchicine,rhabdomyolysis,FALSE
pos_1657,5-fluorouracil,neurotoxicity,FALSE
negsent1_733,methysergide,migraine headaches,FALSE
pos_2624,dapsone,erythroderma,FALSE
pos_2070,recombinant insulin-like growth factor-i,anaphylactic reaction,FALSE
negsent1_25,"azithromycin,intravenous azithromycin",,FALSE
neg_41,oxaliplatin,hemolytic-uremic syndrome,FALSE
pos_925,norethisterone,"diabetes mellitus,gestational diabetes,impaired glucose tolerance",FALSE
pos_1465,insulin,lipohypertrophy,FALSE
pos_3359,miconazole,cardiorespiratory toxicity,FALSE
negsent1_875,amiodarone,cardiac arrhythmia,FALSE
negsent1_1308,colchicine,mixed connective tissue disease,FALSE
pos_261,"carbamazepine,ritonavir",carbamazepine toxicity,FALSE
pos_486,vincristine,life-threatening vincristine neurotoxicity,FALSE
